    pgc |       ra |      dec |       gl |       gb |      sgl |      sgb |    Vhel |     Vls |    d25 |  b_a |         pa |         ty |                       type | sdss | alfa100 | QA_sdss | QA_wise |    ebv |   u_mag |   g_mag |   r_mag |   i_mag |   z_mag | u_Rasy | g_Rasy | r_Rasy | i_Rasy | z_Rasy |   A_u |   A_g |   A_r |   A_i |   A_z |  Sba |    Spa | mu0_u | mu0_g | mu0_r | mu0_i | mu0_z | mu50_u | mu50_g | mu50_r | mu50_i | mu50_z | mu90_u | mu90_g | mu90_r | mu90_i | mu90_z | m255_u | m255_g | m255_r | m255_i | m255_z | disc_mu0_u | disc_mu0_g | disc_mu0_r | disc_mu0_i | disc_mu0_z |   h_u |   h_g |   h_r |   h_i |    h_z | R50_u | R50_g | R50_r | R50_i | R50_z | R90_u | R90_g | R90_r | R90_i | R90_z | R255_u | R255_g | R255_r | R255_i | R255_z | C82_u | C82_g | C82_r | C82_i | C82_z | d_m_ext_u | d_m_ext_g | d_m_ext_r | d_m_ext_i | d_m_ext_z |  w1_mag |  w2_mag | w1_Rasy | w2_Rasy |  A_w1 |  A_w2 |  Wba |    Wpa | mu0_w1 | mu0_w2 | mu50_w1 | mu50_w2 | mu90_w1 | mu90_w2 | m255_w1 | m255_w2 | disc_mu0_w1 | disc_mu0_w2 |  h_w1 |  h_w2 | R50_w1 | R50_w2 | R90_w1 | R90_w2 | R255_w1 | R255_w2 | C82_w1 | C82_w2 | d_m_ext_w1 | d_m_ext_w2 | Sqlt | Wqlt | dst | trl | nsp | fon | fnt | cwd | ovm | fov | mlp | bts | unc |                                                                                                 note | inc | inc_e | inc_flg | inc_n |                                                                                             inc_note
    558 |   1.7925 | -21.7865 |  58.4853 | -78.6052 | 272.1907 |   4.8629 | 10176.0 | 10234.5 |   1.58 | 0.19 |      159.0 |        2.1 |            SBab            |    0 |       0 |       0 |       1 |  0.000 |    0.00 |    0.00 |    0.00 |    0.00 |    0.00 |   0.00 |   0.00 |   0.00 |   0.00 |   0.00 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.00 |   0.00 |  0.00 |  0.00 |  0.00 |  0.00 |  0.00 |   0.00 |   0.00 |   0.00 |   0.00 |   0.00 |   0.00 |   0.00 |   0.00 |   0.00 |   0.00 |   0.00 |   0.00 |   0.00 |   0.00 |   0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |  0.00 |  0.00 |  0.00 |  0.00 |   0.00 |  0.00 |  0.00 |  0.00 |  0.00 |  0.00 |  0.00 |  0.00 |  0.00 |  0.00 |  0.00 |   0.00 |   0.00 |   0.00 |   0.00 |   0.00 |  0.00 |  0.00 |  0.00 |  0.00 |  0.00 |    0.0000 |    0.0000 |    0.0000 |    0.0000 |    0.0000 |   13.54 |   14.16 |    2.40 |    2.70 | 0.004 | 0.003 | 0.20 | 158.80 |  18.98 |  19.69 |   20.61 |   21.20 |   24.05 |   25.49 |   13.57 |   14.27 |       19.55 |       19.13 |  0.24 |  0.17 |   0.33 |   0.33 |   0.92 |   1.05 |    1.39 |    1.05 |   3.64 |   3.54 |    -0.0298 |    -0.0214 |    0 |    5 |     |     |     |     |     |     |     |     |     |   B |     |                                                                                                   OK |  86 |     2 |       0 |     3 |                                                                                                     
    559 |   1.7983 |  13.7685 | 106.8523 | -47.7171 | 306.8644 |  14.9591 |  5410.0 |  5625.1 |   0.54 | 0.38 |      166.7 |        3.0 |              Sb            |    1 |       1 |       1 |       1 |  0.122 |   16.60 |   15.85 |   15.50 |   15.27 |   15.02 |   1.15 |   1.20 |   1.00 |   1.10 |   1.65 | 0.531 | 0.404 | 0.283 | 0.210 | 0.156 | 0.33 | 159.70 | 21.69 | 20.98 | 20.65 | 20.55 | 20.28 |  23.23 |  22.32 |  22.13 |  22.23 |  22.24 |   0.00 |  24.92 |  24.91 |  25.35 |  25.48 |  16.85 |  15.93 |  15.58 |  15.37 |  15.20 |      21.17 |      20.37 |      20.27 |      20.54 |      20.59 |  0.10 |  0.11 |  0.12 |  0.14 |   0.15 |  0.21 |  0.20 |  0.21 |  0.23 |  0.25 |  0.73 |  0.46 |  0.50 |  0.62 |  0.81 |   0.43 |   0.52 |   0.56 |   0.65 |   0.66 |  3.78 |  3.21 |  3.41 |  3.70 |  4.37 |   -0.1053 |   -0.0567 |   -0.0525 |   -0.0646 |   -0.0670 |   15.68 |   16.10 |    1.00 |    1.20 | 0.023 | 0.018 | 0.56 | 162.20 |  21.74 |  22.42 |   22.83 |   23.44 |   25.99 |   26.41 |   15.84 |   16.35 |       19.92 |       20.22 |  0.09 |  0.09 |   0.23 |   0.25 |   0.57 |   0.65 |    0.49 |    0.44 |   2.88 |   3.13 |    -0.0399 |    -0.0504 |    5 |    5 |     |     |     |     |     |     |     |     |     |     |     |                                                                                                      |  78 |     3 |       0 |     6 |                                                                                                     
    567 |   1.8213 |  27.6780 | 111.1053 | -34.1777 | 321.0991 |  17.5796 |  7547.0 |  7803.9 |   0.95 | 0.50 |      109.0 |        2.0 |             Sab            |    1 |       1 |       1 |       1 |  0.064 |   15.86 |   14.57 |   13.86 |   13.48 |   13.25 |   0.95 |   0.95 |   0.95 |   1.00 |   0.95 | 0.277 | 0.211 | 0.148 | 0.110 | 0.082 | 0.49 | 109.70 | 21.68 | 19.75 | 18.70 | 18.18 | 17.82 |  23.34 |  21.98 |  21.21 |  20.80 |  20.40 |  25.09 |  23.88 |  23.23 |  22.93 |  22.41 |  15.95 |  14.60 |  13.88 |  13.49 |  13.26 |      21.72 |      19.97 |      19.11 |      18.79 |      18.41 |  0.16 |  0.13 |  0.12 |  0.12 |   0.12 |  0.24 |  0.23 |  0.22 |  0.21 |  0.20 |  0.49 |  0.48 |  0.48 |  0.49 |  0.45 |   0.53 |   0.64 |   0.70 |   0.75 |   0.72 |  3.24 |  3.62 |  3.96 |  4.04 |  3.99 |   -0.1611 |   -0.0414 |   -0.0210 |   -0.0163 |   -0.0120 |   13.42 |   13.97 |    1.20 |    1.10 | 0.012 | 0.010 | 0.60 | 107.20 |  19.02 |  19.71 |   20.55 |   21.17 |   23.02 |   23.63 |   13.45 |   14.00 |       18.48 |       19.26 |  0.12 |  0.12 |   0.21 |   0.22 |   0.48 |   0.50 |    0.73 |    0.71 |   3.28 |   3.18 |    -0.0127 |    -0.0236 |    5 |    5 |     |     |     |     |     |     |     |     |     |     |     |                                                                                                      |  60 |     4 |       0 |     9 |                                                                                                     
    569 |   1.8313 |  32.6092 | 112.2786 | -29.3484 | 326.2315 |  18.2665 |  5087.0 |  5355.2 |   1.78 | 0.21 |       40.5 |        3.1 |              Sb            |    1 |       1 |       1 |       1 |  0.045 |   15.10 |   13.70 |   13.01 |   12.60 |   12.29 |   1.40 |   1.65 |   1.70 |   1.65 |   1.65 | 0.198 | 0.150 | 0.105 | 0.078 | 0.058 | 0.21 |  40.50 | 20.85 | 18.88 | 17.86 | 17.34 | 16.94 |  22.89 |  21.55 |  20.74 |  20.29 |  19.84 |  24.54 |  23.44 |  22.76 |  22.45 |  21.87 |  15.17 |  13.73 |  13.02 |  12.61 |  12.30 |      20.49 |      18.81 |      18.43 |      18.45 |      17.72 |  0.22 |  0.19 |  0.20 |  0.22 |   0.19 |  0.45 |  0.42 |  0.38 |  0.37 |  0.34 |  0.80 |  0.84 |  0.81 |  0.81 |  0.75 |   0.89 |   1.17 |   1.31 |   1.51 |   1.39 |  2.97 |  3.55 |  3.89 |  4.11 |  4.09 |   -0.0623 |   -0.0166 |   -0.0121 |   -0.0123 |   -0.0069 |   12.32 |   12.89 |    2.60 |    2.00 | 0.009 | 0.007 | 0.21 |  40.80 |  18.45 |  19.12 |   19.88 |   20.43 |   22.67 |   22.80 |   12.34 |   12.91 |       18.54 |       18.48 |  0.26 |  0.22 |   0.39 |   0.39 |   0.93 |   0.87 |    1.81 |    1.42 |   3.38 |   3.22 |    -0.0133 |    -0.0126 |    5 |    5 |     |     |     |     |     |     |     |     |     |     |     |                                                                                                      |  81 |     3 |       0 |     9 |                                                                                                     
    594 |   1.9463 |  31.7906 | 112.2000 | -30.1700 | 325.3900 |  18.0600 |  4606.0 |  4872.3 |   0.34 | 0.47 |        0.0 |        4.8 |              Sc            |    1 |       1 |       1 |       0 |  0.047 |   18.16 |   17.34 |   17.06 |   16.96 |   16.97 |   0.70 |   0.45 |   0.85 |   0.40 |   0.20 | 0.206 | 0.157 | 0.110 | 0.081 | 0.061 | 0.59 |  32.50 | 22.45 | 21.38 | 20.95 | 20.73 | 20.82 |  23.43 |  22.54 |  22.25 |  22.14 |  21.98 |  25.39 |  24.47 |  24.27 |  24.11 |  22.89 |  18.26 |  17.39 |  17.12 |  17.00 |  16.97 |      21.51 |      20.34 |      20.06 |      19.92 |      18.62 |  0.06 |  0.05 |  0.05 |  0.05 |   0.03 |  0.10 |  0.09 |  0.09 |  0.09 |  0.09 |  0.19 |  0.18 |  0.19 |  0.18 |  0.14 |   0.20 |   0.22 |   0.23 |   0.23 |   0.20 |  2.77 |  2.92 |  2.91 |  2.88 |  2.55 |   -0.1368 |   -0.0553 |   -0.0443 |   -0.0398 |   -0.0142 |    0.00 |    0.00 |    0.00 |    0.00 | 0.000 | 0.000 | 0.00 |   0.00 |   0.00 |   0.00 |    0.00 |    0.00 |    0.00 |    0.00 |    0.00 |    0.00 |        0.00 |        0.00 |  0.00 |  0.00 |   0.00 |   0.00 |   0.00 |   0.00 |    0.00 |    0.00 |   0.00 |   0.00 |     0.0000 |     0.0000 |    3 |    0 |     |     |     |     |     |     |     |     |     |     |     |                                                                                                      |  75 |     3 |       0 |     1 |                                                                                                     
    598 |   1.9617 |  35.9661 | 113.1235 | -26.0740 | 329.7582 |  18.5567 |   439.0 |   714.0 |   0.68 | 0.58 |       56.0 |        9.9 |               I            |    1 |       1 |       1 |       1 |  0.063 |   16.54 |   15.40 |   15.04 |   14.85 |   14.78 |   0.80 |   1.30 |   1.25 |   1.30 |   1.25 | 0.275 | 0.210 | 0.147 | 0.109 | 0.081 | 0.56 |  56.00 | 23.74 | 22.72 | 22.47 | 22.34 | 22.36 |  23.65 |  23.18 |  23.05 |  22.97 |  22.77 |  25.95 |  25.81 |  25.63 |  25.35 |  25.21 |  16.69 |  15.55 |  15.17 |  14.95 |  14.88 |      21.53 |      21.21 |      21.29 |      21.51 |      21.10 |  0.11 |  0.14 |  0.17 |  0.20 |   0.18 |  0.22 |  0.27 |  0.29 |  0.31 |  0.29 |  0.43 |  0.64 |  0.70 |  0.71 |  0.67 |   0.40 |   0.59 |   0.67 |   0.73 |   0.71 |  2.62 |  3.28 |  3.37 |  3.34 |  3.23 |   -0.1390 |   -0.1085 |   -0.1151 |   -0.1373 |   -0.0998 |   15.52 |   16.47 |    1.40 |    1.10 | 0.012 | 0.009 | 0.63 |  56.00 |  22.96 |  23.59 |   24.20 |   24.18 |   26.87 |   26.31 |   15.89 |   16.68 |       21.91 |       22.45 |  0.17 |  0.18 |   0.37 |   0.28 |   1.03 |   0.54 |    0.59 |    0.45 |   3.94 |   2.54 |    -0.1860 |    -0.2827 |    5 |    3 |     |     |     |     |     |     |     |     |     |     |     |                                                                                                      |   0 |     0 |       1 |     5 |      [diffuse] [faint] [diffuse gas] [not_sure] [better_image] [bad_TF] [ambiguous] [disturbed] [HI]
    613 |   2.0283 |   9.7177 | 105.5491 | -51.6858 | 302.8505 |  13.7999 |  6423.0 |  6622.9 |   1.15 | 0.56 |       82.0 |        3.0 |            SABb            |    1 |       1 |       1 |       1 |  0.114 |   15.86 |   14.31 |   13.50 |   13.08 |   12.74 |   1.50 |   1.35 |   1.35 |   1.35 |   1.30 | 0.497 | 0.378 | 0.265 | 0.197 | 0.146 | 0.61 |  81.30 | 20.43 | 18.47 | 17.44 | 16.90 | 16.47 |  24.86 |  22.51 |  21.28 |  20.77 |  20.35 |  25.31 |  23.85 |  23.13 |  22.87 |  22.76 |  15.95 |  14.34 |  13.53 |  13.10 |  12.77 |      24.69 |      21.70 |      20.33 |      19.82 |      19.47 |  0.92 |  0.24 |  0.18 |  0.18 |   0.17 |  0.29 |  0.23 |  0.20 |  0.19 |  0.19 |  0.59 |  0.57 |  0.56 |  0.57 |  0.58 |   0.61 |   0.70 |   0.75 |   0.80 |   0.94 |  5.58 |  5.88 |  6.32 |  6.55 |  6.96 |   -1.9063 |   -0.1591 |   -0.0547 |   -0.0368 |   -0.0280 |   12.92 |   13.58 |    1.90 |    2.40 | 0.022 | 0.017 | 0.61 |  81.30 |  17.80 |  18.55 |   20.32 |   20.73 |   23.45 |   23.59 |   12.96 |   13.60 |       19.42 |       19.95 |  0.17 |  0.17 |   0.22 |   0.20 |   0.65 |   0.57 |    0.97 |    0.84 |   4.85 |   4.41 |    -0.0268 |    -0.0406 |    5 |    5 |     |     |     |     |     |     |     |     |     |     |     |                                                                                                      |  57 |     4 |       0 |     7 |                                                                                                     
    616 |   2.0612 |   7.7803 | 104.7200 | -53.5600 | 300.9300 |  13.2900 | 11846.0 | 12038.5 |   1.38 | 0.35 |       24.0 |        2.0 |             Sab            |    1 |       1 |       1 |       0 |  0.143 |   16.44 |   14.63 |   13.71 |   13.18 |   12.80 |   1.00 |   1.25 |   1.20 |   1.25 |   1.75 | 0.622 | 0.473 | 0.332 | 0.246 | 0.183 | 0.39 |  24.00 | 21.40 | 19.02 | 17.87 | 17.25 | 16.71 |  24.07 |  22.31 |  21.25 |  20.67 |  20.20 |  25.64 |  24.29 |  23.17 |  22.78 |  22.34 |  16.57 |  14.68 |  13.73 |  13.20 |  12.83 |      22.46 |      20.02 |      19.08 |      18.67 |      19.01 |  0.20 |  0.15 |  0.14 |  0.14 |   0.17 |  0.29 |  0.27 |  0.24 |  0.24 |  0.23 |  0.54 |  0.58 |  0.55 |  0.55 |  0.54 |   0.53 |   0.72 |   0.81 |   0.91 |   0.88 |  3.24 |  4.23 |  4.56 |  4.65 |  4.70 |   -0.2845 |   -0.0429 |   -0.0205 |   -0.0147 |   -0.0194 |    0.00 |    0.00 |    0.00 |    0.00 | 0.000 | 0.000 | 0.00 |   0.00 |   0.00 |   0.00 |    0.00 |    0.00 |    0.00 |    0.00 |    0.00 |    0.00 |        0.00 |        0.00 |  0.00 |  0.00 |   0.00 |   0.00 |   0.00 |   0.00 |    0.00 |    0.00 |   0.00 |   0.00 |     0.0000 |     0.0000 |    5 |    0 |     |     |     |     |     |     |     |     |     |     |     |                                                                                                      |  74 |     3 |       0 |     4 |                                                                                                     
    619 |   2.0454 |  27.5278 | 111.3036 | -34.3653 | 320.9760 |  17.3600 |  4641.0 |  4897.1 |   1.10 | 0.65 |       43.9 |        5.8 |              Sc            |    1 |       1 |       1 |       1 |  0.053 |   15.54 |   14.35 |   13.86 |   13.58 |   13.36 |   0.90 |   1.25 |   1.30 |   1.55 |   1.25 | 0.232 | 0.177 | 0.124 | 0.092 | 0.068 | 0.63 |  39.50 | 21.50 | 20.21 | 19.44 | 19.11 | 18.95 |  23.84 |  22.77 |  22.21 |  21.92 |  21.75 |  25.75 |  25.17 |  24.56 |  24.30 |  24.43 |  15.67 |  14.44 |  13.90 |  13.61 |  13.40 |      21.60 |      20.38 |      20.11 |      19.95 |      19.97 |  0.18 |  0.16 |  0.17 |  0.18 |   0.19 |  0.35 |  0.34 |  0.32 |  0.31 |  0.32 |  0.62 |  0.72 |  0.69 |  0.69 |  0.75 |   0.60 |   0.78 |   0.88 |   0.92 |   0.96 |  2.60 |  3.04 |  3.34 |  3.50 |  3.67 |   -0.1470 |   -0.0571 |   -0.0463 |   -0.0409 |   -0.0413 |   13.95 |   14.40 |    1.90 |    1.80 | 0.010 | 0.008 | 0.65 |  39.50 |  20.32 |  21.00 |   22.16 |   22.79 |   24.61 |   25.56 |   14.00 |   14.52 |       19.75 |       20.51 |  0.15 |  0.17 |   0.31 |   0.34 |   0.68 |   0.78 |    0.84 |    0.77 |   3.11 |   3.27 |    -0.0348 |    -0.0633 |    5 |    4 |     |     |     |     |     |     |     |     |     |     |     |                                                                                                      |  53 |     4 |       0 |     5 |                                                                                                     
    627 |   2.0871 | -29.9153 |  13.9928 | -80.1378 | 264.5900 |   1.9316 |  1518.0 |  1535.0 |   2.45 | 0.21 |       23.2 |        4.8 |              Sc            |    0 |       0 |       0 |       1 |  0.000 |    0.00 |    0.00 |    0.00 |    0.00 |    0.00 |   0.00 |   0.00 |   0.00 |   0.00 |   0.00 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.00 |   0.00 |  0.00 |  0.00 |  0.00 |  0.00 |  0.00 |   0.00 |   0.00 |   0.00 |   0.00 |   0.00 |   0.00 |   0.00 |   0.00 |   0.00 |   0.00 |   0.00 |   0.00 |   0.00 |   0.00 |   0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |  0.00 |  0.00 |  0.00 |  0.00 |   0.00 |  0.00 |  0.00 |  0.00 |  0.00 |  0.00 |  0.00 |  0.00 |  0.00 |  0.00 |  0.00 |   0.00 |   0.00 |   0.00 |   0.00 |   0.00 |  0.00 |  0.00 |  0.00 |  0.00 |  0.00 |    0.0000 |    0.0000 |    0.0000 |    0.0000 |    0.0000 |   13.91 |   14.48 |    2.00 |    1.20 | 0.003 | 0.002 | 0.48 |  30.20 |  21.41 |  22.07 |   23.11 |   23.70 |   24.64 |   25.33 |   13.97 |   14.57 |       21.09 |       22.33 |  0.31 |  0.41 |   0.52 |   0.53 |   1.01 |   1.05 |    1.15 |    1.09 |   3.22 |   3.26 |    -0.0988 |    -0.2582 |    0 |    5 |     |     |     |     |     |     |     |     |     |     |     |                                                                                                   OK |  85 |     2 |       0 |     4 |                                                                                                     
    634 |   2.1442 | -33.8578 | 354.2118 | -78.5861 | 260.8870 |   0.5749 |  6800.0 |  6796.4 |   2.34 | 0.54 |       30.2 |        4.1 |             Sbc            |    0 |       0 |       0 |       1 |  0.000 |    0.00 |    0.00 |    0.00 |    0.00 |    0.00 |   0.00 |   0.00 |   0.00 |   0.00 |   0.00 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.00 |   0.00 |  0.00 |  0.00 |  0.00 |  0.00 |  0.00 |   0.00 |   0.00 |   0.00 |   0.00 |   0.00 |   0.00 |   0.00 |   0.00 |   0.00 |   0.00 |   0.00 |   0.00 |   0.00 |   0.00 |   0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |  0.00 |  0.00 |  0.00 |  0.00 |   0.00 |  0.00 |  0.00 |  0.00 |  0.00 |  0.00 |  0.00 |  0.00 |  0.00 |  0.00 |  0.00 |   0.00 |   0.00 |   0.00 |   0.00 |   0.00 |  0.00 |  0.00 |  0.00 |  0.00 |  0.00 |    0.0000 |    0.0000 |    0.0000 |    0.0000 |    0.0000 |   11.84 |   12.35 |    2.40 |    2.10 | 0.002 | 0.002 | 0.62 |  30.20 |  18.12 |  18.94 |   21.16 |   21.80 |   22.81 |   23.89 |   11.86 |   12.40 |       18.39 |       19.02 |  0.22 |  0.24 |   0.48 |   0.52 |   0.96 |   1.07 |    1.41 |    1.41 |   3.91 |   3.66 |    -0.0118 |    -0.0196 |    0 |    5 |     |     |     |     |     |     |     |     |     |     |     |                                                                                                      |  58 |     4 |       0 |     3 |                                                                                                     
    638 |   2.1496 |  44.0966 | 114.8603 | -18.1027 | 338.3306 |  19.1155 |  8215.0 |  8501.3 |   0.71 | 0.49 |      114.6 |        4.0 |                   Sbc      |    0 |       0 |       0 |       1 |  0.000 |    0.00 |    0.00 |    0.00 |    0.00 |    0.00 |   0.00 |   0.00 |   0.00 |   0.00 |   0.00 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.00 |   0.00 |  0.00 |  0.00 |  0.00 |  0.00 |  0.00 |   0.00 |   0.00 |   0.00 |   0.00 |   0.00 |   0.00 |   0.00 |   0.00 |   0.00 |   0.00 |   0.00 |   0.00 |   0.00 |   0.00 |   0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |  0.00 |  0.00 |  0.00 |  0.00 |   0.00 |  0.00 |  0.00 |  0.00 |  0.00 |  0.00 |  0.00 |  0.00 |  0.00 |  0.00 |  0.00 |   0.00 |   0.00 |   0.00 |   0.00 |   0.00 |  0.00 |  0.00 |  0.00 |  0.00 |  0.00 |    0.0000 |    0.0000 |    0.0000 |    0.0000 |    0.0000 |   15.39 |   15.92 |    1.00 |    1.40 | 0.014 | 0.011 | 0.61 | 127.40 |  20.94 |  21.51 |   22.33 |   22.96 |   24.82 |   25.26 |   15.46 |   16.02 |       20.25 |       20.81 |  0.11 |  0.11 |   0.20 |   0.21 |   0.45 |   0.45 |    0.51 |    0.47 |   3.22 |   3.15 |    -0.0514 |    -0.0797 |    0 |    5 |     |     |     |     |     |     |     |     |     |     |     |                                                                                                      |  52 |     4 |       0 |     4 |                                                                                                     
    642 |   2.1771 |  37.4479 | 113.6137 | -24.6495 | 331.3316 |  18.5421 |  4389.0 |  4665.8 |   1.45 | 0.15 |      110.3 |        1.0 |              Sa            |    1 |       0 |       1 |       1 |  0.079 |   15.79 |   14.18 |   13.26 |   12.77 |   12.45 |   1.65 |   1.75 |   1.75 |   1.75 |   1.35 | 0.343 | 0.261 | 0.183 | 0.136 | 0.101 | 0.40 | 110.30 | 22.73 | 20.89 | 19.63 | 18.89 | 18.29 |  24.06 |  21.83 |  20.82 |  20.25 |  19.71 |  28.21 |  24.71 |  23.80 |  23.03 |  22.23 |  16.08 |  14.26 |  13.30 |  12.79 |  12.46 |      22.61 |      20.33 |      19.44 |      18.92 |      18.16 |  0.23 |  0.18 |  0.18 |  0.18 |   0.15 |  0.33 |  0.27 |  0.26 |  0.25 |  0.24 |  1.09 |  0.72 |  0.71 |  0.67 |  0.59 |   0.61 |   0.84 |   1.01 |   1.09 |   1.02 |  4.32 |  3.82 |  3.92 |  3.88 |  3.74 |   -0.3208 |   -0.0550 |   -0.0273 |   -0.0180 |   -0.0098 |   12.37 |   12.96 |    2.10 |    2.80 | 0.015 | 0.012 | 0.35 | 110.30 |  18.21 |  18.93 |   19.68 |   20.30 |   22.56 |   23.14 |   12.40 |   12.99 |       18.26 |       18.40 |  0.18 |  0.16 |   0.29 |   0.29 |   0.69 |   0.69 |    1.30 |    1.09 |   3.20 |   3.13 |    -0.0106 |    -0.0119 |    5 |    5 |     |     |     |     |     |     |     |     |     |     |     |                                                                                                      |  90 |     1 |       0 |    10 |                                                                      [luminous bulge] [bright bulge]
    644 |   2.2054 |  24.5401 | 110.7230 | -37.3192 | 317.9189 |  16.7244 |  4580.0 |  4828.0 |   0.89 | 0.23 |      138.4 |        3.4 |              Sb            |    1 |       1 |       1 |       1 |  0.065 |   16.93 |   15.80 |   15.30 |   15.08 |   14.99 |   1.05 |   1.50 |   1.50 |   1.45 |   1.25 | 0.284 | 0.216 | 0.152 | 0.112 | 0.084 | 0.39 | 135.50 | 21.93 | 20.87 | 20.36 | 20.09 | 19.94 |  23.93 |  23.09 |  22.71 |  22.45 |  22.12 |  26.32 |  25.27 |  24.96 |  24.62 |  24.35 |  17.19 |  15.90 |  15.37 |  15.14 |  15.04 |      22.56 |      21.63 |      21.21 |      20.94 |      20.59 |  0.15 |  0.16 |  0.17 |  0.16 |   0.15 |  0.20 |  0.23 |  0.23 |  0.23 |  0.22 |  0.51 |  0.54 |  0.57 |  0.56 |  0.52 |   0.38 |   0.57 |   0.64 |   0.66 |   0.64 |  4.12 |  4.28 |  4.43 |  4.40 |  4.23 |   -0.3083 |   -0.1503 |   -0.1086 |   -0.0881 |   -0.0673 |   15.50 |   16.19 |    1.47 |    1.30 | 0.012 | 0.010 | 0.49 | 135.20 |  21.02 |  21.75 |   22.84 |   23.33 |   25.24 |   25.83 |   15.59 |   16.36 |       21.48 |       21.92 |  0.17 |  0.15 |   0.24 |   0.23 |   0.58 |   0.57 |    0.62 |    0.50 |   3.63 |   3.63 |    -0.1337 |    -0.1878 |    5 |    5 |     |     |     |     |     |     |     |     |     |     |     |                                                                                                      |  83 |     4 |       0 |     5 |                                                                                                     
    647 |   2.1929 |  15.8164 | 108.1252 | -45.8251 | 309.0195 |  15.0357 |   865.0 |  1086.0 |   1.51 | 0.66 |       22.7 |        9.9 |              IB            |    1 |       1 |       1 |       1 |  0.078 |   13.66 |   12.66 |   12.19 |   11.86 |   11.69 |   3.20 |   4.25 |   3.25 |   4.75 |   3.70 | 0.338 | 0.257 | 0.180 | 0.133 | 0.099 | 0.78 |  20.50 | 21.60 | 20.57 | 20.30 | 20.11 | 20.03 |  23.95 |  22.64 |  22.34 |  22.29 |  22.27 |  27.07 |  25.84 |  25.39 |  25.12 |  25.43 |  14.07 |  12.80 |  12.28 |  11.94 |  11.81 |      22.15 |      21.73 |      21.36 |      21.17 |      21.14 |  0.30 |  0.43 |  0.46 |  0.49 |   0.50 |  0.55 |  0.52 |  0.55 |  0.60 |  0.62 |  1.93 |  1.65 |  1.67 |  1.78 |  2.10 |   1.03 |   1.48 |   1.75 |   1.98 |   1.99 |  6.43 |  5.23 |  5.07 |  4.98 |  5.31 |   -0.2237 |   -0.1626 |   -0.1220 |   -0.1052 |   -0.1026 |   12.42 |   13.18 |    3.00 |    3.10 | 0.015 | 0.012 | 0.66 |  19.70 |  20.42 |  21.07 |   22.59 |   22.90 |   25.07 |   25.32 |   12.52 |   13.26 |       21.55 |       21.72 |  0.52 |  0.41 |   0.63 |   0.54 |   1.70 |   1.39 |    1.79 |    1.49 |   4.62 |   4.23 |    -0.1408 |    -0.1608 |    5 |    5 |     |     |     |   F |     |     |     |     |     |     |     |                                                                                                      |   0 |     0 |       1 |     8 |                                     [diffuse] [not_sure] [bad_TF] [ambiguous] [face_on] [not_spiral]
    650 |   2.1987 |  33.4334 | 112.8048 | -28.5984 | 327.1330 |  18.0651 |  4828.0 |  5097.2 |   2.29 | 0.26 |       53.9 |        2.6 |              Sb            |    1 |       1 |       1 |       1 |  0.043 |   15.09 |   13.54 |   12.76 |   12.31 |   12.08 |   2.35 |   2.40 |   2.70 |   2.75 |   1.80 | 0.187 | 0.142 | 0.100 | 0.074 | 0.055 | 0.27 |  53.90 | 19.61 | 17.50 | 17.09 | 16.25 | 16.47 |  23.78 |  21.82 |  20.85 |  20.35 |  19.97 |  25.35 |  23.64 |  22.93 |  22.55 |  22.22 |  15.20 |  13.57 |  12.78 |  12.32 |  12.09 |      22.89 |      20.40 |      19.34 |      18.80 |      18.47 |  0.49 |  0.29 |  0.26 |  0.25 |   0.24 |  0.45 |  0.37 |  0.35 |  0.34 |  0.33 |  1.00 |  0.94 |  0.93 |  0.93 |  0.88 |   1.02 |   1.22 |   1.34 |   1.48 |   1.38 |  4.74 |  5.55 |  5.59 |  5.92 |  5.33 |   -0.3985 |   -0.0581 |   -0.0253 |   -0.0164 |   -0.0126 |   12.24 |   12.86 |    3.10 |    3.30 | 0.008 | 0.006 | 0.26 |  53.70 |  17.80 |  18.60 |   20.41 |   21.11 |   23.09 |   23.98 |   12.29 |   12.92 |       18.73 |       19.19 |  0.26 |  0.26 |   0.42 |   0.44 |   1.07 |   1.13 |    1.72 |    1.51 |   4.29 |   4.27 |    -0.0155 |    -0.0224 |    5 |    5 |     |     |     |     |     |     |     |     |     |     |     |                                                                                                      |  80 |     3 |       0 |     8 |                                                                                                     
