id, pgcID, dPA, zoom , filter
584, 4734, 0.00000, 2.86798 , gri
585, 4856, 0.00000, 2.58117 , gri
586, 5518, 0.00000, 1.69351 , gri
587, 6434, 0.00000, 2.58118 , gri
588, 6699, 0.00000, 2.09075 , gri
589, 7960, 0.00000, 2.58117 , gri
590, 8624, 1.00000, 1.88168 , gri
591, 8754, 0.00000, 2.32306 , gri
592, 8964, 0.00000, 2.32306 , gri
593, 9904, 0.00000, 1.52416 , gri
594, 10126, 0.00000, 2.58117 , gri
595, 11282, 0.00000, 2.09077 , gri
596, 13646, 0.00000, 2.09075 , gri
597, 15259, 0.00000, 2.58117 , gri
598, 21558, 0.00000, 2.09075 , gri
599, 21918, 0.00000, 1.69351 , gri
600, 23071, -86.00000, 0.72900 , gri
601, 23643, 1.00000, 1.88167 , gri
602, 23869, 0.00000, 2.09075 , gri
603, 24490, 0.00000, 2.58117 , gri
604, 24830, 0.00000, 1.69351 , gri
605, 25232, -2.00000, 2.58117 , gri
606, 27570, 0.00000, 2.09075 , gri
607, 27681, 0.00000, 2.32306 , gri
608, 28088, -1.00000, 2.86798 , gri
609, 28248, 0.00000, 1.88168 , gri
610, 28517, 0.00000, 2.09075 , gri
611, 28700, 0.00000, 2.32305 , gri
612, 29956, -1.00000, 1.69351 , gri
613, 30714, 1.00000, 2.09075 , gri
614, 31996, 1.00000, 2.86797 , gri
615, 37143, 0.00000, 2.86797 , gri
616, 39308, 0.00000, 1.69351 , gri
617, 39794, 0.00000, 1.88168 , gri
618, 40839, 0.00000, 3.54071 , gri
619, 41618, 0.00000, 1.00000 , gri
620, 41808, -1.00000, 2.32306 , gri
621, 42264, 0.00000, 2.32306 , gri
622, 43863, 0.00000, 3.18664 , gri
623, 45366, 0.00000, 2.09075 , gri
624, 51002, 0.00000, 2.32306 , gri
625, 51587, 0.00000, 2.09075 , gri
626, 52258, -1.00000, 2.09075 , gri
627, 53376, 0.00000, 2.32306 , gri
628, 54262, 0.00000, 2.32306 , gri
629, 54470, 0.00000, 1.00000 , gri
630, 54885, 0.00000, 1.52416 , gri
631, 56094, -1.00000, 2.86797 , gri
632, 57018, 0.00000, 2.32306 , gri
633, 57332, 0.00000, 1.69351 , gri
634, 58545, 1.00000, 1.69351 , gri
635, 59650, -1.00000, 1.88168 , gri
636, 61824, -1.00000, 2.32306 , gri
